"","V1","V2","V3","V4","V5"
"1",0.19672131147541,0.180327868852459,0.213114754098361,0.19672131147541,0.213114754098361
"2",0.229508196721311,0.19672131147541,0.163934426229508,0.180327868852459,0.229508196721311
"3",0.192982456140351,0.210526315789474,0.192982456140351,0.228070175438596,0.175438596491228
"4",0.183333333333333,0.266666666666667,0.2,0.183333333333333,0.166666666666667
"5",0.229508196721311,0.163934426229508,0.19672131147541,0.180327868852459,0.229508196721311
"6",0.206896551724138,0.189655172413793,0.206896551724138,0.189655172413793,0.206896551724138
"7",0.19047619047619,0.158730158730159,0.238095238095238,0.19047619047619,0.222222222222222
"8",0.180327868852459,0.180327868852459,0.262295081967213,0.19672131147541,0.180327868852459
"9",0.203389830508475,0.203389830508475,0.186440677966102,0.203389830508475,0.203389830508475
"10",0.203703703703704,0.185185185185185,0.203703703703704,0.222222222222222,0.185185185185185
"11",0.224137931034483,0.206896551724138,0.189655172413793,0.189655172413793,0.189655172413793
"12",0.19672131147541,0.213114754098361,0.229508196721311,0.19672131147541,0.163934426229508
"13",0.192982456140351,0.210526315789474,0.192982456140351,0.192982456140351,0.210526315789474
"14",0.210526315789474,0.175438596491228,0.228070175438596,0.210526315789474,0.175438596491228
"15",0.175438596491228,0.175438596491228,0.192982456140351,0.263157894736842,0.192982456140351
"16",0.214285714285714,0.196428571428571,0.178571428571429,0.232142857142857,0.178571428571429
"17",0.214285714285714,0.178571428571429,0.214285714285714,0.196428571428571,0.196428571428571
"18",0.196428571428571,0.196428571428571,0.178571428571429,0.214285714285714,0.214285714285714
"19",0.224137931034483,0.206896551724138,0.172413793103448,0.189655172413793,0.206896551724138
"20",0.192982456140351,0.175438596491228,0.245614035087719,0.192982456140351,0.192982456140351
"21",0.19047619047619,0.158730158730159,0.222222222222222,0.222222222222222,0.206349206349206
"22",0.185185185185185,0.222222222222222,0.222222222222222,0.185185185185185,0.185185185185185
"23",0.206349206349206,0.238095238095238,0.174603174603175,0.206349206349206,0.174603174603175
"24",0.19672131147541,0.229508196721311,0.213114754098361,0.19672131147541,0.163934426229508
"25",0.166666666666667,0.166666666666667,0.216666666666667,0.166666666666667,0.283333333333333
"26",0.210526315789474,0.245614035087719,0.192982456140351,0.175438596491228,0.175438596491228
"27",0.183333333333333,0.183333333333333,0.2,0.166666666666667,0.266666666666667
"28",0.21875,0.21875,0.171875,0.171875,0.21875
"29",0.180327868852459,0.163934426229508,0.213114754098361,0.163934426229508,0.278688524590164
"30",0.172413793103448,0.224137931034483,0.206896551724138,0.206896551724138,0.189655172413793
"31",0.233333333333333,0.166666666666667,0.183333333333333,0.166666666666667,0.25
"32",0.193548387096774,0.193548387096774,0.193548387096774,0.17741935483871,0.241935483870968
"33",0.178571428571429,0.214285714285714,0.196428571428571,0.196428571428571,0.214285714285714
"34",0.234375,0.203125,0.171875,0.203125,0.1875
"35",0.17741935483871,0.209677419354839,0.225806451612903,0.161290322580645,0.225806451612903
"36",0.229508196721311,0.163934426229508,0.180327868852459,0.180327868852459,0.245901639344262
"37",0.19047619047619,0.158730158730159,0.206349206349206,0.174603174603175,0.26984126984127
"38",0.19672131147541,0.19672131147541,0.180327868852459,0.19672131147541,0.229508196721311
"39",0.184615384615385,0.2,0.169230769230769,0.2,0.246153846153846
"40",0.206349206349206,0.174603174603175,0.19047619047619,0.19047619047619,0.238095238095238
"41",0.1875,0.25,0.171875,0.171875,0.21875
"42",0.163934426229508,0.213114754098361,0.163934426229508,0.19672131147541,0.262295081967213
"43",0.174603174603175,0.158730158730159,0.206349206349206,0.206349206349206,0.253968253968254
"44",0.229508196721311,0.180327868852459,0.163934426229508,0.163934426229508,0.262295081967213
"45",0.215384615384615,0.153846153846154,0.2,0.169230769230769,0.261538461538462
"46",0.210526315789474,0.175438596491228,0.228070175438596,0.192982456140351,0.192982456140351
"47",0.161290322580645,0.209677419354839,0.193548387096774,0.17741935483871,0.258064516129032
"48",0.19047619047619,0.158730158730159,0.238095238095238,0.174603174603175,0.238095238095238
"49",0.163934426229508,0.213114754098361,0.180327868852459,0.163934426229508,0.278688524590164
"50",0.178571428571429,0.178571428571429,0.196428571428571,0.214285714285714,0.232142857142857
"51",0.183333333333333,0.183333333333333,0.2,0.2,0.233333333333333
"52",0.224137931034483,0.172413793103448,0.241379310344828,0.172413793103448,0.189655172413793
"53",0.216666666666667,0.183333333333333,0.166666666666667,0.2,0.233333333333333
"54",0.17741935483871,0.225806451612903,0.225806451612903,0.17741935483871,0.193548387096774
